num_train,method,split,nlpd,variogram_score
225,exact_gp,7,1.2118026359499825,0.8795715334103961
225,exact_gp,8,1.039969593470318,0.6134603872848076
225,exact_gp,9,0.9784869525824209,0.6049587925203506
225,pro_gp_gibbs,1,0.8716419181020338,0.5177986854254923
225,pro_gp_gibbs,10,0.9725238075129095,0.6166343508293586
225,pro_gp_gibbs,2,0.946709930087459,0.6535755083485467
225,pro_gp_gibbs,3,0.874007113557818,0.6532428135266956
225,pro_gp_gibbs,4,0.9537231043264499,0.655669493380273
225,pro_gp_gibbs,5,1.0307003995703332,0.6856201937968485
225,pro_gp_gibbs,6,0.9002167114114791,0.66016547014348
225,pro_gp_gibbs,7,1.0503257512315975,0.8603049298458579
225,pro_gp_gibbs,8,0.9835100203474071,0.6163866334332043
225,pro_gp_gibbs,9,0.7938723628905936,0.5543343796626655
225,pro_gp_gibbs_50,1,0.8503796368494281,0.513133560351112
225,pro_gp_gibbs_50,10,0.8693437135035081,0.5882211398698834
225,pro_gp_gibbs_50,2,0.9269300709097543,0.6420864990867463
225,pro_gp_gibbs_50,3,0.9023076137161371,0.6582948051726025
225,pro_gp_gibbs_50,4,0.8783816529854737,0.6374528289731389
225,pro_gp_gibbs_50,5,1.0012628060336128,0.6755434159160175
225,pro_gp_gibbs_50,6,0.8824618171487711,0.6726743438643884
225,pro_gp_gibbs_50,7,1.0327080398198516,0.8642889937742474
225,pro_gp_gibbs_50,8,0.9922604771914268,0.6279054285970447
225,pro_gp_gibbs_50,9,0.8058423241452316,0.5674662210558231
250,exact_gp,1,0.8607442959035873,0.4246737772109997
250,exact_gp,10,1.0774798173754396,0.6479292968121196
250,exact_gp,2,1.0670288676686095,0.612572329512458
250,exact_gp,3,1.0685333412379907,0.5616559440481633
250,exact_gp,4,1.1286816056416855,0.7767928884779838
250,exact_gp,5,1.09997761893516,0.7087392475788346
250,exact_gp,6,1.1002625224917484,0.719650352207853
250,exact_gp,7,1.0995949882576774,0.7583883788811346
250,exact_gp,8,1.0759252145550107,0.7817804737876233
250,exact_gp,9,1.1568737862822613,0.7275041862450721
250,pro_gp_gibbs,1,0.6635252022059468,0.34640327258849696
250,pro_gp_gibbs,10,0.9057260634217316,0.6134116202683139
250,pro_gp_gibbs,2,0.8653619023875362,0.5255587034763798
250,pro_gp_gibbs,3,0.9224482786974881,0.5445337357739154
250,pro_gp_gibbs,4,0.9274370360621076,0.7234215716828925
250,pro_gp_gibbs,5,0.9406061208538002,0.6825606662290413
250,pro_gp_gibbs,6,0.9586298465625487,0.7201977139907314
250,pro_gp_gibbs,7,1.0699808045491348,0.757895108664316
250,pro_gp_gibbs,8,0.9670220119454115,0.7868606337993654
250,pro_gp_gibbs,9,0.9995605924959198,0.687197723340663
250,pro_gp_gibbs_50,1,0.6248788569894362,0.344428279347122
250,pro_gp_gibbs_50,10,0.9411325799632864,0.6194360216294146
250,pro_gp_gibbs_50,2,0.7758769577082725,0.5179896081288831
250,pro_gp_gibbs_50,3,0.8952962001969493,0.5334738847661108
250,pro_gp_gibbs_50,4,0.8661139580722326,0.6878508750943483
250,pro_gp_gibbs_50,5,0.89122513633433,0.6895505457291875
250,pro_gp_gibbs_50,6,0.9367627664650133,0.7281865460720244
250,pro_gp_gibbs_50,7,1.0221480812696897,0.74482153123933
250,pro_gp_gibbs_50,8,0.9699169331020502,0.7952256466822616
250,pro_gp_gibbs_50,9,0.9862215227260752,0.6854232174728635
250,pro_gp_gibbs_adapt,1,0.6499233289747344,0.36088032781854545
250,pro_gp_gibbs_adapt,10,0.909066319011085,0.5992348928398774
250,pro_gp_gibbs_adapt,2,0.7887780874678396,0.5506892541137988
250,pro_gp_gibbs_adapt,3,0.9652615880774409,0.550447034748741
250,pro_gp_gibbs_adapt,4,0.8759083526466147,0.7168990714927376
250,pro_gp_gibbs_adapt,5,0.9785643525323273,0.7212249319826418
250,pro_gp_gibbs_adapt,6,0.9213085978638443,0.7006155123811427
250,pro_gp_gibbs_adapt,7,1.0350741668233907,0.7502834883025695
250,pro_gp_gibbs_adapt,8,0.9798304186197937,0.7816770778712441
250,pro_gp_gibbs_adapt,9,1.0031057079966326,0.6983316061000331
275,exact_gp,1,0.8005198339231171,0.37035083814794084
275,exact_gp,10,1.1513948842168489,0.7458457403279384
275,exact_gp,2,1.0186315716605836,0.6238597557867747
275,exact_gp,3,0.9223166293884287,0.4925588742456188
275,exact_gp,4,1.1257729187282646,0.6891111635684781
275,exact_gp,5,1.0906621956480067,0.6748878607697293
275,exact_gp,6,1.0560404968610686,0.6908105701562348
275,exact_gp,7,1.1340077444506609,0.7732956816952778
275,exact_gp,8,1.0230044563782315,0.7186635086270408
275,exact_gp,9,1.2304334757139055,0.7919638042098293
275,pro_gp_gibbs_50,1,0.6177917753712157,0.2835182459555344
275,pro_gp_gibbs_50,10,0.9468976404300163,0.7003626670964166
275,pro_gp_gibbs_50,2,0.6901589304712504,0.5536556472356204
275,pro_gp_gibbs_50,3,0.7363993467645001,0.4364378484425674
275,pro_gp_gibbs_50,4,0.9507984001291857,0.6722743703722505
275,pro_gp_gibbs_50,5,0.7409993445878383,0.6379712979765757
275,pro_gp_gibbs_50,6,0.8934234719223889,0.6754443878157115
275,pro_gp_gibbs_50,7,1.0445862778126986,0.7637956086000325
